@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute width-1 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1227,'2018/12/11 18:59:54:641',5,14.699151,1
1228,'2018/12/11 18:59:54:674',5,14.876861,1
1229,'2018/12/11 18:59:54:705',5,14.63907,1
1230,'2018/12/11 18:59:54:738',5,14.910581,1
1231,'2018/12/11 18:59:54:773',5,14.97752,1
1232,'2018/12/11 18:59:54:806',5,14.743778,1
1233,'2018/12/11 18:59:54:839',5,14.851434,1
1234,'2018/12/11 18:59:54:873',5,14.545691,1
1235,'2018/12/11 18:59:54:908',5,14.727981,1
1236,'2018/12/11 18:59:54:941',5,14.551895,1
1237,'2018/12/11 18:59:54:974',5,14.568147,1
1238,'2018/12/11 18:59:55:008',5,14.847791,1
1239,'2018/12/11 18:59:55:042',5,14.634648,1
1240,'2018/12/11 18:59:55:073',5,14.912518,1
1241,'2018/12/11 18:59:55:108',5,14.667381,1
1242,'2018/12/11 18:59:55:141',5,14.888466,1
1243,'2018/12/11 18:59:55:170',5,14.714515,1
1244,'2018/12/11 18:59:55:207',5,14.994262,1
1245,'2018/12/11 18:59:55:242',5,14.576663,1
1246,'2018/12/11 18:59:55:273',5,14.720122,1
1247,'2018/12/11 18:59:55:308',5,14.815087,1
1248,'2018/12/11 18:59:55:341',5,14.678122,1
1249,'2018/12/11 18:59:55:374',5,14.761276,1
1250,'2018/12/11 18:59:55:407',5,14.54278,1
1251,'2018/12/11 18:59:55:442',5,14.819859,1
1252,'2018/12/11 18:59:55:474',5,14.754781,1
1253,'2018/12/11 18:59:55:506',5,14.738184,1
1254,'2018/12/11 18:59:55:539',5,14.635965,1
1255,'2018/12/11 18:59:55:574',5,14.70404,1
1256,'2018/12/11 18:59:55:608',5,14.843608,1
1257,'2018/12/11 18:59:55:642',5,14.63128,1
1258,'2018/12/11 18:59:55:673',5,14.89564,1
1259,'2018/12/11 18:59:55:707',5,14.629723,1
1260,'2018/12/11 18:59:55:742',5,14.943374,1
1261,'2018/12/11 18:59:55:775',5,15.029414,1
1262,'2018/12/11 18:59:55:808',5,16.130804,1
1263,'2018/12/11 18:59:55:843',5,14.78481,1
1264,'2018/12/11 18:59:55:875',5,14.977977,1
1265,'2018/12/11 18:59:55:907',5,15.029099,1
1266,'2018/12/11 18:59:55:940',5,14.797563,1
1267,'2018/12/11 18:59:55:975',5,14.931102,1
1268,'2018/12/11 18:59:56:009',5,14.907661,1
1269,'2018/12/11 18:59:56:041',5,14.668836,1
1270,'2018/12/11 18:59:56:075',5,14.474168,1
1271,'2018/12/11 18:59:56:108',5,14.66208,1
1272,'2018/12/11 18:59:56:142',5,14.605416,1
1273,'2018/12/11 18:59:56:170',5,14.498621,1
1274,'2018/12/11 18:59:56:205',5,14.531522,1
1275,'2018/12/11 18:59:56:241',5,14.667487,1
1276,'2018/12/11 18:59:56:276',5,14.704916,1
1277,'2018/12/11 18:59:56:305',5,14.316758,1
1278,'2018/12/11 18:59:56:340',5,14.713926,1
1279,'2018/12/11 18:59:56:375',5,13.871283,1
1280,'2018/12/11 18:59:56:408',5,13.978868,1
1281,'2018/12/11 18:59:56:441',5,15.277828,1
1282,'2018/12/11 18:59:56:475',5,13.559577,1
1283,'2018/12/11 18:59:56:508',5,14.096163,1
1284,'2018/12/11 18:59:56:541',5,14.387266,1
1285,'2018/12/11 18:59:56:575',5,14.401138,1
1286,'2018/12/11 18:59:56:608',5,13.76703,1
1287,'2018/12/11 18:59:56:642',5,14.504914,1
1288,'2018/12/11 18:59:56:675',5,15.164592,1
1289,'2018/12/11 18:59:56:707',5,13.657166,1
1290,'2018/12/11 18:59:56:742',5,13.653393,1
1291,'2018/12/11 18:59:56:873',5,14.565675,1
1292,'2018/12/11 18:59:56:884',5,14.437323,1
1293,'2018/12/11 18:59:56:893',5,14.2155,1
1294,'2018/12/11 18:59:56:937',5,14.536502,1
1295,'2018/12/11 18:59:56:974',5,14.337011,1
1296,'2018/12/11 18:59:57:008',5,14.582147,1
1297,'2018/12/11 18:59:57:042',5,14.427189,1
1298,'2018/12/11 18:59:57:074',5,14.49857,1
1299,'2018/12/11 18:59:57:108',5,14.554814,1
1300,'2018/12/11 18:59:57:142',5,14.479811,1
1301,'2018/12/11 18:59:57:175',5,14.792271,1
1302,'2018/12/11 18:59:57:208',5,15.101317,1
1303,'2018/12/11 18:59:57:242',5,14.660433,1
1304,'2018/12/11 18:59:57:275',5,15.04092,1
1305,'2018/12/11 18:59:57:308',5,14.712288,1
1306,'2018/12/11 18:59:57:342',5,15.203983,1
1307,'2018/12/11 18:59:57:374',5,14.60913,1
1308,'2018/12/11 18:59:57:404',5,14.499314,1
1309,'2018/12/11 18:59:57:441',5,14.424968,1
1310,'2018/12/11 18:59:57:476',5,14.332623,1
1311,'2018/12/11 18:59:57:509',5,14.310918,1
1312,'2018/12/11 18:59:57:542',5,14.467058,1
1313,'2018/12/11 18:59:57:572',5,14.623079,1
1314,'2018/12/11 18:59:57:606',5,14.533304,1
1315,'2018/12/11 18:59:57:639',5,14.548991,1
1316,'2018/12/11 18:59:57:674',5,14.506366,1
1317,'2018/12/11 18:59:57:707',5,14.77129,1
1318,'2018/12/11 18:59:57:758',5,14.557195,1
1319,'2018/12/11 18:59:57:770',5,14.401053,1
1320,'2018/12/11 18:59:57:808',5,14.049853,1
1321,'2018/12/11 18:59:57:840',5,14.312753,1
1322,'2018/12/11 18:59:57:876',5,14.391197,1
1323,'2018/12/11 18:59:57:908',5,14.663145,1
1324,'2018/12/11 18:59:57:942',5,14.753425,1
1325,'2018/12/11 18:59:57:974',5,14.858503,1
1326,'2018/12/11 18:59:58:008',5,14.38529,1
1327,'2018/12/11 18:59:58:042',5,14.757415,1
1328,'2018/12/11 18:59:58:074',5,14.729671,1
1329,'2018/12/11 18:59:58:108',5,14.980556,1
1330,'2018/12/11 18:59:58:143',5,14.848135,1
1331,'2018/12/11 18:59:58:176',5,15.034599,1
1332,'2018/12/11 18:59:58:209',5,15.042994,1
1333,'2018/12/11 18:59:58:241',5,15.070694,1
1334,'2018/12/11 18:59:58:275',5,14.885656,1
1335,'2018/12/11 18:59:58:307',5,14.901284,1
1336,'2018/12/11 18:59:58:341',5,14.991326,1
1337,'2018/12/11 18:59:58:374',5,14.982845,1
1338,'2018/12/11 18:59:58:407',5,15.093143,1
1339,'2018/12/11 18:59:58:441',5,15.120916,1
1340,'2018/12/11 18:59:58:475',5,15.030091,1
1341,'2018/12/11 18:59:58:508',5,15.032883,1
1342,'2018/12/11 18:59:58:640',5,14.693172,1
1343,'2018/12/11 18:59:58:651',5,14.662019,1
1344,'2018/12/11 18:59:58:675',5,14.506153,1
1345,'2018/12/11 18:59:58:706',5,14.571826,1
1346,'2018/12/11 18:59:58:742',5,14.489556,1
1347,'2018/12/11 18:59:58:775',5,14.693412,1
1348,'2018/12/11 18:59:58:806',5,14.756815,1
1349,'2018/12/11 18:59:58:840',5,14.755095,1
1350,'2018/12/11 18:59:58:874',5,14.871761,1
1351,'2018/12/11 18:59:58:906',5,14.793985,1
1352,'2018/12/11 18:59:58:940',5,14.821296,1
1353,'2018/12/11 18:59:58:974',5,14.779435,1
1354,'2018/12/11 18:59:59:006',5,14.771208,1
1355,'2018/12/11 18:59:59:039',5,14.814437,1
1356,'2018/12/11 18:59:59:072',5,15.046544,1
1357,'2018/12/11 18:59:59:107',5,14.794253,1
1358,'2018/12/11 18:59:59:142',5,15.051575,1
